Herbarium,catalognumber,Scanned,Device,zspecid,scandate,Trial,By,notes,Family,Genus,Species,State,County,Latitude,Longitude,Data,Rt,Iof,Shift(C),Counts(C),Counts(R),Simulate(R),Hydrogen,Nitrogen,Phosphorus,Sulfur,Chlorine,Potassium,Calcium,Titanium,Chromium,Manganese,Iron,Nickel,Copper,Zinc,Arsenic,Selenium,Bromine,Rubidium,Strontium,Yttrium,Barium,Cerium,Praseodymium,Samarium,Gadolinium,Dysprosium,Tungsten,Mercury,Lead,Bismuth,SPPDP[Z/L]
SBBG,Blank,,1,51848,11/14/2025,,Alek,,,,,,,,,51848-SampleName-20251114141434,0.00939706,1,-0.00445669,203455,24643.7,24643.7,482320,517236,0,0,80.2174,257.381,80.193,0,0,0.0717369,0,0,3.72912,1.87021,0,0,0,0,0,0,14.4435,0,0,2.73147,0,2.98705,0,0.248147,0,#VALUE!,0
SBBG,NIST-1515-Ni,,1,51849,11/14/2025,,Alek,,,,,,,,,51849-SampleName-20251114141627,0.00584758,1,-0.00565409,120925,18261.3,18261.3,412405,577606,0,0,193.222,4519.88,4231.54,4.11625,0,34.6118,50.373,852.904,10.2788,10.623,0.275646,0.459949,1.03223,8.15904,18.2304,2.50348,47.1489,0,0,8.76891,0,0,0.577206,0,0,#VALUE!,0
SBBG,NIST-1567,,1,51850,11/14/2025,,Alek,,,,,,,,,51850-SampleName-20251114141734,0.00590522,1,-0.00408606,124740,17189,17189,432591,566327,0,0,138.888,714.926,165.415,0,0.783131,5.55759,5.31491,0,7.85521,10.876,0,0.828285,4.59901,0,1.10451,0,19.2865,0,0,0,0,8.35549,0,0,0,#VALUE!,0
SBBG,NIST-1547,,1,51851,11/14/2025,,Alek,,,,,,,,,51851-SampleName-20251114141854,0.00261004,1,-0.0134256,54782.3,7763.88,7763.87,434358,556393,0,0,102.409,5462.02,3418.44,11.327,3.3175,35.0455,82.0447,0.344371,8.61115,10.7867,0,0,4.77759,7.9156,23.6653,0,76.6655,0,0,0,0,5.85177,0,0.722335,1.77406,#VALUE!,0
SBBG,NIST-1515 ,,1,51852,11/14/2025,,Alek,,,,,,,,,51852-SampleName-20251114142425,0.00407238,1,-0.00783419,82022.2,12980.6,12980.6,389061,599854,0,0,150.144,5502.51,5267.94,12.2129,3.69934,31.7546,33.6783,0,8.92272,8.07707,0,0,1.30224,0,12.1883,4.2108,36.3529,0,8.06894,3.68428,0,4.54869,0,0.250223,0,#VALUE!,0
SBBG,NIST-1568,,1,51853,11/14/2025,,Alek,,,,,,,,,51853-SampleName-20251114142522,0.00595682,1,-0.00593454,125184,17353.1,17353.1,429724,569274,0,0,125.634,682.806,136.72,2.47421,0,14.5249,0,0.244942,7.3834,16.3163,0.446407,0,5.34496,4.31062,0.992861,0,0,0,3.0531,0,0,4.96677,0,0,0,#VALUE!,0
SBBG,215995,Y,1,51854,11/14/2025,a,Alek,,Brassicaceae,Caulanthus,Caulanthus californicus,California,Tulare,35.82624,-119.25784,51854-SampleName-20251114142717,0.00339511,1,-0.0117329,68724.1,14986.7,14986.6,387836,580319,0,4531.62,3442.62,3448.58,9332.91,1599.28,0,1.33284,133.73,0,11.9399,91.5229,18.5506,0,778.325,0,123.84,0,590.312,0,0,0,0,0,7740.11,0,0,#VALUE!,0
SBBG,215995,Y,1,51855,11/14/2025,b,Alek,,Brassicaceae,Caulanthus,Caulanthus californicus,California,Tulare,35.82624,-119.25784,51855-SampleName-20251114142833,0.00289742,1,-0.0129792,59776.4,13679.8,13679.8,401991,563815,0,4626.14,3594.1,2030.8,8557.42,3031.19,4.37241,0,117.262,0,18.4176,108.71,20.6811,0,937.88,0,166.289,0,884.798,0,0,0,0,0,10096.5,0,0,#VALUE!,0
SBBG,215995,Y,1,51856,11/14/2025,c,Alek,,Brassicaceae,Caulanthus,Caulanthus californicus,California,Tulare,35.82624,-119.25784,51856-SampleName-20251114143007,0.00297309,1,-0.00263335,57786.9,12802.6,12802.6,340431,630153,0,4039.6,2927.7,4077.84,11144,339.322,0,11.4131,124.382,0,12.1939,67.1746,13.258,0,600.037,0,175.855,2.28451,319.413,0,0,0,0,0,5562.33,0,0,#VALUE!,0
SBBG,215998,Y,1,51857,11/14/2025,a,Alek,,Brassicaceae,Caulanthus,Caulanthus californicus,California,Kern,35.517,-118.852,51857-SampleName-20251114143114,0.00276545,1,-0.0123332,55813,10959.4,10959.4,380306,587923,0,1767.52,2475.98,6392.76,14255.5,1974.9,6.30996,0,195.037,0,19.5243,56.8329,7.68354,0,508.751,0,158.126,0,686.516,0,0,0,0,0,3265.46,0,0,#VALUE!,0
